招聘岗位,企业名称,工作城市,工作区域,最低月薪_元,最高月薪_元,中位月薪_元,经验段,经验年限下限,经验年限上限,学历层级,AI标签列表,主要AI方向,岗位摘要,核心技能列表,招聘发布日期,发布月份
无线智慧网络应用工程师,中国移动通信有限公司研究院,北京,nan,15000,30000,22500.0,3-5年,3,4,硕士,机器学习、人工智能、数据挖掘,机器学习,基于4G/5G网络数据的AI算法研究与应用开发,4G/5G无线接入网技术、机器学习、数据挖掘、模型开发、参数调优、算法部署,2024-07-27 ,2024-07
AI工程师,江苏泰迪智能科技有限公司,苏州,昆山市,10000,20000,15000.0,无经验要求,,,硕士,人工智能、深度学习,深度学习,工业领域深度学习算法研发与优化,深度学习、NLP、Stable Diffusion、LLM大语言模型训练、大模型微调,2024-09-25 ,2024-09
销售代表业务员,四川众鹤科技有限公司,成都,天府新区,5000,10000,7500.0,无经验要求,,,本科,人脸识别,人脸识别,负责智慧政企及校园项目销售与客户维护,市场营销、软件销售、SaaS、客户关系维护、销售计划制定,2024-01-03 ,2024-01
人工智能工程师,北京华科软科技有限公司,西安,雁塔区,10000,15000,12500.0,3-5年,3,,本科,机器学习、深度学习、计算机视觉、人工智能、自然语言处理,人工智能,负责AI算法开发与模型集成优化,Python、机器学习、深度学习、TensorFlow、PyTorch、数据预处理、特征工程、模型优化,2024-07-31 ,2024-07
电商主管,重庆名瑞国际贸易有限公司,成都,武侯区,7000,10000,8500.0,3-5年,3,,大专,人工智能,人工智能,负责电商运营及数据分析，提升客户增长与转化,数据分析、用户行为分析、私域运营、渠道运营、大数据分析、人工智能,2024-07-25 ,2024-07
数据分析师,新讯数字科技（杭州）有限公司,北京,海淀区,10000,15000,12500.0,无经验要求,,,硕士,机器学习、数据挖掘、深度学习,机器学习,利用机器学习和深度学习进行数据挖掘建模与算法开发,机器学习、深度学习、Python、TensorFlow、Pytorch、SQL、数据挖掘,2024-03-26 ,2024-03
大数据开发实习生,云鲸智能（深圳）有限公司,深圳,南山区,6000,7000,6500.0,实习/应届,,,本科,大数据平台,大数据平台,参与大数据处理与数据可视化及治理工作,BI工具、Tableau、PowerBI、Hadoop、Spark、数据治理、数据清洗、数据可视化,2024-04-23 ,2024-04
业务支持,中国移动通信集团广东有限公司,云浮,nan,9998,9999,9998.5,实习/应届,,,本科,云计算,云计算,负责云计算及大数据业务运营支撑工作,业务测试、业务优化分析、网络规划、网络安全、通信原理、数据分析,2024-09-04 ,2024-09
算法工程师（医疗图像配准方向）,无锡祥生医疗科技股份有限公司,无锡,nan,15000,30000,22500.0,1-3年,2,,硕士,计算机视觉、深度学习,深度学习,研发医学图像配准及3D/4D重建算法,医学图像配准、3D/4D重建、Python、Matlab、OpenCV、Tensorflow、PyTorch、PaddlePaddle,2024-08-16 ,2024-08
云计算高级销售经理,深圳敏捷云计算科技有限公司,上海,浦东新区,15000,25000,20000.0,5-10年,5,10,本科,云计算,云计算,负责云计算产品销售及客户资源拓展,公有云销售、客户资源拓展、销售策略制定、计算机技术、项目管理、市场分析,2024-02-14 ,2024-02
人工智能算法工程师,上海金珵科技有限公司,上海,闵行区,15000,30000,22500.0,1-3年,2,,本科,机器学习、人工智能、自然语言处理、深度学习,机器学习,负责AI算法研发、数据处理及模型部署优化,机器学习、深度学习、TensorFlow、PyTorch、数据预处理、特征工程、模型训练、模型部署,2024-08-03 ,2024-08
Python开发工程师,上海前锦众程人力资源有限公司,北京,海淀区,25000,35000,30000.0,5-10年,6,,本科,机器学习、AI产品、深度学习,深度学习,负责AI大模型开发与优化，构建知识库及金融解决方案,Python、机器学习、深度学习、PyTorch、Keras、Embedding向量数据库、AI知识库、AI大模型,2024-11-01 ,2024-11
用户增长内容运营,北京搜狐新媒体信息技术有限公司,北京,海淀区,15000,25000,20000.0,3-5年,3,5,本科,人工智能,人工智能,负责AI内容运营及社区管理,内容运营策略、AI社区运营、短视频制作、数据分析、AI工具应用、跨团队协作,2024-03-27 ,2024-03
拼多多运营,汕头市厨乐食品有限公司,汕头,,9000,11000,10000.0,3-5年,2,4,大专,大数据处理,大数据处理,负责拼多多平台运营及数据分析优化,数据分析、SQL语言、H5制作工具、思维导图、大数据处理,2024-09-03 ,2024-09
嵌入式软件工程师,广东省汉的电气科技有限公司,江门,江海区,10000,20000,15000.0,1-3年,2,,大专,智能家居,智能家居,负责智能家居固件开发与通信协议设计,C/C++、TCP/IP、MQTT、RTOS、I2C、SPI、WIFI、蓝牙,2024-07-09 ,2024-07
数仓开发工程师,深圳市一弘科技有限公司,深圳,宝安区,15000,20000,17500.0,3-5年,3,5,本科,分布式计算、大数据平台,大数据平台,负责大数据平台开发及分布式计算框架设计,Python、Hadoop、Flink、Hive、Kafka、Spark、ETL工具、SQL,2024-02-18 ,2024-02
IT前端工程师,宝科流体自控科技（西安）有限公司,西安,国家民用航天产业基地,8000,15000,11500.0,3-5年,3,,本科,人机交互,人机交互,负责前端开发及人机交互设计,Vue.js、HTML/CSS、JavaScript、Node.js、前端开发、用户体验优化,2024-12-04 ,2024-12
IT经理/主管,四川正达凯新材料有限公司,达州,nan,15000,30000,22500.0,5-10年,5,,本科,云计算,人工智能,统筹信息化建设与团队管理，推进数字化智能化融合,信息化建设、云计算、团队管理、项目实施、风险评估、流程优化、跨部门协作,2024-04-25 ,2024-04
区域销售经理,上海品峰医疗科技有限公司,天津,nan,13000,20000,16500.0,3-5年,3,,大专,机器人自动化,机器人自动化,医疗智能设备销售及客户维护,医疗设备销售、直销能力、商务谈判、客户关系维护、医院资源、IVD行业经验,2024-07-24 ,2024-07
商业分析-用户增长策略,贝壳找房（北京）科技有限公司,北京,海淀区,20000,35000,27500.0,3-5年,3,5,本科,智能家居,智能家居,负责用户增长策略及数据分析与报告撰写,用户需求挖掘、数据分析、可视化呈现、行业研究方法、跨团队协作,2024-03-29 ,2024-03
高级测试开发工程师-AI方向,贝壳找房（北京）科技有限公司,上海,徐汇区,25000,50000,37500.0,3-5年,3,5,本科,AI产品,人工智能,负责AI产品测试开发及质量保障,Python、Java、Go、数据结构与算法、CI/CD、敏捷开发、产品生命周期管理、测试开发,2024-03-27 ,2024-03
系统开发工程师,浙江凯喜雅国际股份有限公司,杭州,拱墅区,15000,25000,20000.0,3-5年,3,5,本科,人工智能,人工智能,负责系统设计与开发，解决技术难题,金蝶苍穹平台、J2EE、SpringBoot、MyBatis、Oracle、VUE、React、Redis,2024-03-08 ,2024-03
深度强化学习算法工程师,武汉百会人力资源有限公司,武汉,东湖新技术产业开发区,20000,40000,30000.0,3-5年,3,,本科,人工智能、深度学习,深度学习,研发机器人深度强化学习算法,C++、Python、PyTorch、TensorFlow、ROS、机器人仿真软件、深度强化学习算法,2024-10-01 ,2024-10
初级测试专员,深圳千讯杰网络科技有限公司,深圳,福田区,5000,7500,6250.0,1-3年,1,,大专,机器学习,机器学习,负责软件测试及环境维护，解决技术问题,软件测试、Bug分析、测试环境搭建、统计工具、逻辑思维、问题解决,2024-12-08 ,2024-12
AI开发工程师（后端）,启迪万众网络科技（北京）有限公司广州分公司,广州,天河区,15000,18000,16500.0,3-5年,3,5,本科,深度学习,深度学习,负责AI工具集成架构设计与核心代码开发,JAVA开发、分布式系统、多线程、JVM原理、Spring框架、Redis、Docker、TensorFlow,2024-03-29 ,2024-03
初级AI开发工程师,天津恩恩科技有限公司,上海,静安区,10000,15000,12500.0,1-3年,1,3,本科,AI产品,AI产品,参与AI产品开发与优化，大语言模型应用,大语言模型微调、LangChain、LlamaIndex、databricks、Rasa、Python,2024-04-01 ,2024-04
Python后台开发工程师,广州市派客朴食信息科技有限责任公司,广州,海珠区,11000,15000,13000.0,3-5年,3,,大专,数据挖掘,数据挖掘,Python后端开发与数据库优化,Python、Django、Docker、MySQL、SQL优化、云平台、Shell脚本,2024-08-10 ,2024-08
涂装车间经理,江西伊启实业有限公司,九江,nan,15000,20000,17500.0,5-10年,5,,大专,智能家居,智能家居,负责涂装车间生产管理及团队协调工作,喷涂生产工艺、生产计划制定、团队管理、安全生产管理、预算控制、6S管理、质量控制,2024-07-23 ,2024-07
直播运营经理,深圳恒泰裕集团,深圳,光明区,10000,15000,12500.0,1-3年,1,3,大专,数据挖掘,数据挖掘,负责直播运营策划及执行，提升转化率与销售目标,直播运营、数据分析、电商运营、脚本编写、用户需求分析、团队培训、内容策划,2024-04-01 ,2024-04
商业产品运营专家/leader（汽车）,北京达佳互联信息技术有限公司,北京,海淀区,35000,50000,42500.0,5-10年,5,10,本科,数据挖掘,数据挖掘,汽车行业商业化产品运营及策略制定,数据挖掘、竞品分析、用户调研、数据处理、跨团队协作、产品运营策略,2024-03-28 ,2024-03
数据分析师/科学家,北京达佳互联信息技术有限公司,北京,海淀区,30000,50000,40000.0,3-5年,3,5,硕士,机器学习,机器学习,数据分析驱动业务优化与产品迭代,Python、R、SQL、机器学习、数据分析、逻辑分析,2024-03-29 ,2024-03
高级Java开发工程师,成都大公博创信息技术有限公司,成都,郫都区,10000,20000,15000.0,3-5年,3,5,本科,大数据处理,大数据处理,负责Java后台开发及技术文档编写,Java、Spring框架、分布式理论、多线程、数据库、微服务框架、并发处理、大数据处理,2024-06-07 ,2024-06
用户增长活动运营,途家网网络技术（北京）有限公司,北京,海淀区,15000,25000,20000.0,1-3年,1,3,本科,数据挖掘,数据挖掘,负责用户增长活动运营及数据分析,产品思维、数据分析、数据挖掘、营销活动策划、跨部门沟通、用户增长策略,2024-01-13 ,2024-01
芯片销售工程师,深圳市芯连心电子科技有限公司,佛山,顺德区,5000,8000,6500.0,1-3年,1,,大专,智能家居,智能家居,负责芯片产品销售及客户维护,电子元器件销售、客户维护、销售流程管理、市场开发、客户关系管理,2024-07-24 ,2024-07
数据运营,合肥天馈信息技术有限公司,青岛,nan,8000,10000,9000.0,3-5年,2,5,本科,大数据管理,大数据管理,负责数据整理、清洗、统计及平台运营维护工作,数据仓库、大数据中心、SQL、数据库设计、数据安全、项目管理、沟通能力,2024-11-20 ,2024-11
AI Agent算法研究,上海耀臣信息科技有限公司,上海,浦东新区,20000,30000,25000.0,无经验要求,,,本科,机器学习、深度学习、数据挖掘、自然语言处理、强化学习,机器学习,研究AI Agent算法，开发大模型应用及多智能体系统,Python、PyTorch、TensorFlow、数据挖掘、自然语言处理、机器学习、深度学习、LangChain,2024-04-15 ,2024-04
IT运营工程师,中国电信股份有限公司陕西分公司,榆林,nan,8000,16000,12000.0,实习/应届,,,本科,云计算,云计算,负责IT系统监控、运维及性能优化，参与项目实施与安全管理,操作系统、网络原理、数据库管理、云计算、Linux、Shell、Python,2024-08-20 ,2024-08
大数据工程师,中国电信股份有限公司陕西分公司,汉中,,8000,16000,12000.0,实习/应届,,,本科,大数据处理、大数据平台,大数据处理,负责大数据平台构建与数据处理分析,Hadoop、Spark、Python、数据清洗、数据分析、性能优化、大数据处理,2024-08-20 ,2024-08
云网工程师（定向县）,中国电信股份有限公司陕西分公司,商洛,nan,8000,16000,12000.0,实习/应届,,,本科,云计算,云计算,通信设备维护与网络管理,网络通信协议、SDN/NFV、开源系统开发工具、通信设备维护、故障处理、网络资源管理,2024-08-20 ,2024-08
无人机飞手,中国电信股份有限公司天津分公司,天津,河西区,12000,15000,13500.0,1-3年,2,,大专,无人驾驶,无人驾驶,无人机飞行及维护调试与数据分析,无人机驾驶执照、垂起固定翼原理、机械维修、飞行数据分析、C1驾照,2024-07-12 ,2024-07
嵌入式开发工程师,宁波朗达科技有限公司,宁波,高新区,12000,20000,16000.0,3-5年,3,,本科,边缘计算,边缘计算,负责边缘计算智能相机嵌入式系统开发与维护,C/C++、Python、Linux开发、嵌入式开发、ARM架构、FPGA开发、技术文档撰写,2024-07-15 ,2024-07
智能算法工程师,合肥英睿系统技术有限公司,合肥,高新区,15000,25000,20000.0,3-5年,3,4,本科,机器学习、数据挖掘、模式识别、深度学习,深度学习,负责深度学习图像处理算法研发与应用,C/C++、Python、pyTorch、TensorFlow、图像处理、深度学习模型优化、算法分析、图像去噪,2024-11-18 ,2024-11
电子质量工程师（DQE）,浙江摩根集团有限公司,宁波,镇海区,15000,18000,16500.0,1-3年,2,,大专,智能家居,人工智能,负责智能家居项目质量策划与控制,DFM评审、PFMEA、APQP、QFD、可靠性测试、生产工艺流程,2024-12-11 ,2024-12
资深产品经理（客服系统）,北京假日阳光环球旅行社有限公司,北京,海淀区,25000,40000,32500.0,5-10年,5,10,本科,智能客服,人工智能,负责智能客服系统规划与产品设计,系统规划、功能设计、数据分析、用户洞察、项目实施、策略制定、服务创新,2024-04-17 ,2024-04
业务支持,中国移动通信集团贵州有限公司,安顺,nan,9998,9999,9998.5,实习/应届,,,本科,人工智能,人工智能,支撑政企客户信息化产品推广与渠道管理,计算机技术、人工智能、网络安全、信息系统开发、自动控制技术,2024-09-03 ,2024-09
数据开发工程师,京北方信息技术股份有限公司,广州,天河区,12000,18000,15000.0,3-5年,3,5,本科,数据挖掘、大数据平台,大数据平台,负责数据仓库设计与ETL开发，提供数据支持,SQL、Hive、Spark、Flink、数据仓库、Linux、Python,2024-03-08 ,2024-03
咨询技术顾问,生产力（深圳）咨询有限公司,,,15000,27000,21000.0,10年以上,10,,本科,人工智能、自动驾驶,自动驾驶,负责业务拓展及咨询方案设计，推动AI与制造业结合,业务拓展、咨询方案设计、客户关系管理、项目管理、智能制造、AI技术应用,2024-08-12 ,2024-08
数据分析师,西安布质科技有限责任公司,深圳,南山区,8000,12000,10000.0,无经验要求,,,本科,数据挖掘、大数据处理,大数据处理,负责数据分析平台搭建及数据挖掘建模工作,数据仓库、SAS、SQL、Hive、报表工具、数据挖掘、统计建模,2024-11-14 ,2024-11
IT运维与支撑,中国电信股份有限公司广西分公司,贵港,nan,8000,16000,12000.0,实习/应届,,,本科,大数据分析,大数据分析,负责IT系统维护与大数据分析工作,计算机科学与技术、软件工程、系统测试、数据接口开发、大数据分析,2024-08-20 ,2024-08
项目经理（数据标注）,江苏伟博动力技术有限公司,无锡,滨湖区,8000,13000,10500.0,1-3年,2,,大专,自动驾驶,无人驾驶,负责数据标注及数据链路闭环管理,数据标注、项目管理、需求分析、数据采集、数据交付、Excel、PPT、Problem Solving,2024-11-20 ,2024-11
数据分析与算法工程师,陕西鼓风机（集团）有限公司,西安,莲湖区,10000,20000,15000.0,5-10年,5,,硕士,机器学习、数据挖掘,机器学习,开发数据分析算法，实现螺栓状态监测预警,Python、机器学习、数据挖掘、数据处理、算法开发、MATLAB、统计分析,2024-09-27 ,2024-09
大数据开发工程师,大连振翮因私出入境服务有限公司,大连,甘井子区,25000,50000,37500.0,3-5年,3,5,本科,机器学习、大数据分析、数据挖掘、大数据平台,大数据分析,设计开发大数据平台，实时处理与分析数据,Flink、Hadoop、Spark、Kafka、Hive、Java、Python、数据流处理,2024-03-27 ,2024-03
后端开发工程师,亚创（上海）工程技术有限公司,苏州,nan,13000,18000,15500.0,5-10年,4,,本科,机器学习、自动驾驶,自动驾驶,自动驾驶数据平台后端开发与AI模型工程化,Python、TensorFlow、PyTorch、Pandas、MySQL、Linux、机器学习、Shell脚本,2024-12-02 ,2024-12
端侧AI算法开发及系统开发工程师,扬州万方科技股份有限公司,扬州,nan,15000,30000,22500.0,3-5年,3,,本科,人工智能、云计算、深度学习,人工智能,负责边端侧AI算法设计与系统开发优化,C/C++、Python、TensorFlow、PyTorch、MindSpore、边缘计算、Kubernetes、Docker,2024-07-05 ,2024-07
算法工程师,深圳市酷开网络科技股份有限公司,深圳,宝安区,30000,45000,37500.0,5-10年,5,10,本科,图像识别、特征提取、深度学习,深度学习,负责图像视频算法研究及深度学习模型优化,图像处理算法、OpenCV、目标检测、OCR技术、Python、Tensorflow、Pytorch、深度学习模型优化,2024-03-27 ,2024-03
高级后端开发工程师-大模型应用,抖音视界（北京）有限公司,杭州,西湖区,25000,50000,37500.0,3-5年,3,5,本科,大数据平台,大数据平台,开发AI驱动企业应用引擎及后端核心模块,编程能力、数据结构与算法、设计模式、后端开发技术、团队协作、AIGC/LLM、大数据平台、企业级应用架构设计,2024-03-28 ,2024-03
物流风控产品经理,抖音视界（北京）有限公司,广州,海珠区,30000,50000,40000.0,无经验要求,,,本科,神经网络,神经网络,负责物流结算风控产品设计与优化,风险管理、风控模型设计、神经网络、物流行业风险分析、ERP产品经验,2024-06-12 ,2024-06
数据科学实习生-电商消费者业务,抖音视界（北京）有限公司,北京,海淀区,7000,9000,8000.0,实习/应届,,,本科,机器学习、数据挖掘,机器学习,数据分析与挖掘，支持兴趣电商业务,SQL、Python、数据处理、统计分析、数据挖掘、机器学习,2024-03-28 ,2024-03
广告投放策略工程师-抖音变现,抖音视界（北京）有限公司,北京,朝阳区,30000,60000,45000.0,1-3年,1,3,本科,机器学习、深度学习,机器学习,广告策略优化与变现方案设计,C++、Golang、Python、机器学习、深度学习、数据结构与算法、运筹优化,2024-04-12 ,2024-04
抖音搜索数据科学家-实验评估方向,抖音视界（北京）有限公司,北京,海淀区,20000,40000,30000.0,无经验要求,,,本科,机器学习,机器学习,负责搜索实验评估与数据分析方法研究,SQL、Python、机器学习、因果推断、统计分析、实验设计,2024-03-28 ,2024-03
高级AI算法工程师,华中科技大学无锡研究院,无锡,惠山区,20000,30000,25000.0,3-5年,3,5,本科,机器学习、人工智能、数据挖掘、特征提取,人工智能,负责AI算法开发与项目落地,机器学习、算法设计、论文复现、TensorRT、敏捷开发,2024-05-06 ,2024-05
图像算法工程师,哈尔滨市科佳通用机电股份有限公司,哈尔滨,香坊区,15000,30000,22500.0,1-3年,1,3,硕士,人工智能、计算机视觉、深度学习,计算机视觉,负责图像算法研究开发与优化,深度学习、PyTorch、TensorFlow、Python、Linux、OpenCV、英语阅读、逻辑思维,2024-03-29 ,2024-03
软件开发岗,东吴人寿保险股份有限公司,苏州,高新区,8000,16000,12000.0,1-3年,1,,本科,大数据平台,大数据平台,负责系统开发及文档管理，协调资源解决产品问题,JAVA、SQL、HTML、XML、JavaScript、分布式系统设计、数据仓库、大数据平台,2024-08-20 ,2024-08
运维工程师,西川新业（成都）电子有限公司,成都,nan,10000,15000,12500.0,1-3年,2,,本科,云计算,云计算,负责云计算平台及系统维护与优化,云计算、操作系统、数据库、网络、安全、系统监控、数据分析,2024-09-05 ,2024-09
地理信息类 英文学术期刊助理编辑,曼迪匹艾（北京）科技服务有限公司,北京,通州区,11000,20000,15500.0,无经验要求,,,本科,数据挖掘,数据挖掘,负责期刊稿件评审与编辑工作,数据挖掘、空间分析、地理信息系统、学术期刊管理、同行评审,2024-10-21 ,2024-10
车辆调度算法工程师,中科云谷科技有限公司,长沙,岳麓区,15000,20000,17500.0,3-5年,3,5,本科,人工智能,人工智能,机器人调度算法设计与多机器人协同优化,C++、Python、机器人调度算法、算法开发、数据驱动分析、跨团队协作、项目落地,2024-12-05 ,2024-12
微信小程序前端开发,零一二信息技术科技（上海）有限公司,上海,杨浦区,6000,12000,9000.0,1-3年,1,3,本科,AI产品,人工智能,负责微信小程序前端及全栈开发工作,微信小程序开发、前端开发、全栈开发、Chatbot开发、代码质量优化、产品需求实现,2024-04-10 ,2024-04
客服代表、电话营销、内容审核、数据标注,上海煊橙信息科技有限公司,邯郸,nan,3000,5000,4000.0,无经验要求,,,不限,人工智能,人工智能,客服、电话营销、内容审核及AI数据标注,独立工作能力、电脑操作技能、普通话标准、沟通表达能力、数据标注技能、网络环境配置、自学能力、打字速度（40字/分钟）,2024-10-07 ,2024-10
电话客服和审核专员,上海煊橙信息科技有限公司,十堰,nan,3000,4000,3500.0,无经验要求,,,不限,人工智能,人工智能,数据标注及客服审核工作,远程办公、电脑操作、沟通能力、数据标注,2024-09-06 ,2024-09
电子研发工程师（智能方向）,广东俊朗松田电器有限公司,佛山,,10000,20000,15000.0,3-5年,3,4,大专,智能家居,智能家居,研发智能产品，设计电源方案，解决全屋智能应用,智能电源研发、分段调光电源设计、离线语音遥控调光、2.4G遥控调光、全屋智能方案、LED照明设计、3C认证标准、电子元件应用,2024-09-14 ,2024-09
大数据分析工程师,新疆众和股份有限公司,乌鲁木齐,nan,10000,20000,15000.0,5-10年,5,,本科,机器学习、大数据处理、数据挖掘、大数据分析、人工智能,大数据分析,负责大数据分析及人工智能项目开发与实施,Python、R、Hadoop、Spark、数据挖掘、机器学习、人工智能,2024-07-02 ,2024-07
淘宝远程客服,成华区西优鸿胜商贸部（个体工商户）,沈阳,nan,3000,4000,3500.0,1-3年,1,,中专及以下,人工智能,人工智能,远程客服销售人工智能商品,淘宝客服、售前售后处理、沟通能力、电脑操作、责任心、耐心细致,2024-07-08 ,2024-07
软件工程师-视觉,无锡松瓷机电有限公司,无锡,锡山区,12000,20000,16000.0,3-5年,3,,本科,深度学习,深度学习,负责机器视觉软件开发与优化,C++、C#、多线程、通信接口编程、传统图像处理、视觉检测原理、深度学习,2024-07-11 ,2024-07
资深数据分析师,北京创智优品科技有限公司,北京,东城区,15000,25000,20000.0,5-10年,5,10,本科,机器学习,机器学习,数据分析与机器学习模型预测游戏趋势,Excel、SQL、Python、R、Tableau、PowerBI、统计学方法、机器学习模型,2024-03-29 ,2024-03
运维售后技术员,深圳搜新智能科技有限公司,深圳,龙华区,6000,10000,8000.0,1-3年,1,,中专及以下,智能家居,人工智能,负责智能家居技术支持与售后服务,Zigbee网络协议、智能家居调试、售前售后服务、客户问题跟踪、项目安装调试,2024-08-16 ,2024-08
上云工程师,曙光信息产业股份有限公司,无锡,nan,13000,26000,19500.0,3-5年,3,,本科,云计算,云计算,负责上云项目方案设计与实施,云计算、方案设计、项目管理、资源整合、沟通能力、售前支持,2024-10-18 ,2024-10
算法工程师,重庆渝至达科技有限公司,重庆,南岸区,10000,20000,15000.0,3-5年,3,4,本科,人工智能、深度学习,深度学习,负责算法研发、设计及优化工作,C/C++、Matlab、Python、ARM内核、通信协议、Linux、FreeRTOS、汽车电子开发,2024-07-16 ,2024-07
视觉软件工程师,苏州迪泰奇自动化科技有限公司,苏州,苏州工业园区,15000,25000,20000.0,3-5年,3,,本科,计算机视觉,计算机视觉,开发机器视觉软件，选型调试视觉设备,C#、多线程、Winform、.NET、VisionPro、Halcon、OpenCV、PLC通讯,2024-10-21 ,2024-10
数据分析师,安徽泰沃兆斯信息科技有限公司,济南,,7000,11000,9000.0,1-3年,1,,本科,机器学习、数据挖掘,机器学习,数据分析与模型优化，业务决策支持,SQL、Python、数据分析、数据挖掘、机器学习,2024-10-14 ,2024-10
数据产品经理,深圳市金证前海金融科技有限公司,深圳,南山区,15000,25000,20000.0,3-5年,3,5,本科,大数据平台,大数据处理,负责数据中台规划与产品设计，支持数字化转型项目,数据中台设计、PRD编写、Axure、Visio、数据治理、数据分析,2024-03-28 ,2024-03
AI工程师,杭州安费诺飞凤通信部品有限公司,杭州,钱塘区,10000,20000,15000.0,3-5年,3,,本科,深度学习,深度学习,负责AI项目评估及平台应用测试,深度学习、TensorFlow、PyTorch、Keras、视觉模型开发、缺陷检测、英语流利,2024-09-24 ,2024-09
材料计算研发工程师,长鑫存储技术有限公司,合肥,nan,25000,40000,32500.0,3-5年,3,,硕士,机器学习、深度神经网络,机器学习,结合AI进行材料计算与研发,Python、机器学习、深度神经网络、分子动力学、量子化学、材料计算、高通量计算,2024-08-07 ,2024-08
项目助理,河南沃德智能化工程有限公司,郑州,金水区,4500,6000,5250.0,1-3年,2,,大专,大数据平台,人工智能,执行项目任务，编写技术方案，商务接待,驾车、CAD制图、Word/Excel、项目管理、信息化系统,2024-07-26 ,2024-07
AI平台数据开发主任,中国第一汽车股份有限公司,南京,江宁区,17000,29000,23000.0,5-10年,5,10,不限,深度学习、人工智能、计算机视觉、自动驾驶,自动驾驶,自动驾驶数据平台及系统架构设计与研发,C/C++、Python、OpenCV、PyTorch、TensorFlow、Kubernetes、DevOps、CUDA,2024-03-27 ,2024-03
全栈工程师,西安芯达电子有限公司,重庆,nan,,,,无经验要求,,,不限,,人工智能,,,2024-11-10 ,2024-11
智能家居组装,九江职讯企业管理服务有限公司,中山,nan,6000,7000,6500.0,无经验要求,,,不限,智能家居,人工智能,智能家居产品组装、质检及包装工作,贴标签、QC、包装、质检,2024-08-12 ,2024-08
机器人系统开发算法工程师,宁波天德创新智能科技有限公司,宁波,北仑区,20000,40000,30000.0,1-3年,2,,本科,机器学习、人工智能、神经网络、深度学习,人工智能,机器人系统算法设计与开发，应用机器学习和深度学习技术,Python、C++、机器学习、深度学习、SLAM、ROS、MCU,2024-12-04 ,2024-12
智算工程师,中移铁通有限公司江门分公司,江门,蓬江区,8000,14000,11000.0,3-5年,3,,本科,智能计算、云计算、人工智能,人工智能,负责智算系统设计、算法优化及解决方案支持,系统架构设计、算法优化、智能计算、云计算、大数据处理、人工智能、项目管理,2024-09-03 ,2024-09
资深数据挖掘工程师,广州希音供应链管理有限公司,深圳,南山区,40000,60000,50000.0,3-5年,3,5,硕士,机器学习、数据挖掘、深度学习,数据挖掘,数据建模与用户画像优化，推动用户增长,Python、机器学习、数据挖掘、深度学习、Pytorch、Tensorflow,2024-03-29 ,2024-03
数据处理专员,中国人寿保险股份有限公司无锡市分公司梁溪扬名营销服务部,无锡,梁溪区,3500,5000,4250.0,无经验要求,,,大专,数据挖掘,数据挖掘,负责数据处理、挖掘及模型构建，支持决策,Excel、数据挖掘、统计分析、数据清洗、模型构建,2024-10-12 ,2024-10
数据经营分析,湖南拓维云创科技有限责任公司,北京,nan,12000,13000,12500.0,3-5年,3,5,本科,机器学习、数据挖掘,机器学习,运用数据挖掘与机器学习进行业务分析报告,数据分析、数据挖掘、机器学习、统计分析、数据源管理、报告撰写、EXCEL,2024-12-03 ,2024-12
C++软件工程师(后端),合肥锐世数字科技有限公司,合肥,庐阳区,20000,25000,22500.0,5-10年,5,10,本科,深度学习,深度学习,负责服务开发、算法移植及文档撰写,C++、Linux、多线程、图像处理、深度学习、SLAM、GPU开发,2024-03-12 ,2024-03
算法工程师,西安环宇芯微电子有限公司,西安,nan,12000,16000,14000.0,3-5年,3,,本科,机器学习、数据挖掘、深度学习,机器学习,负责算法设计与实现，提升模型效率和精度,Python、机器学习、深度学习、数据挖掘、TensorFlow、PyTorch、概率统计、线性代数,2024-10-14 ,2024-10
实习算法工程师,浙江巨能环境工程有限公司,嘉兴,桐乡市,3000,4000,3500.0,无经验要求,,,硕士,机器学习,机器学习,算法开发与机器学习模型研究,Python编程、机器学习算法、AI框架应用、数据分类、模式识别,2024-03-29 ,2024-03
信息化售前工程师,苏州同企人工智能科技有限公司,苏州,相城区,10000,14000,12000.0,3-5年,3,4,大专,人工智能,人工智能,负责售前技术沟通及方案编制,技术方案编制、PPT制作、通信技术、投标管理、大数据处理、系统演示,2024-08-14 ,2024-08
智能家居采购员,深圳市奥雅实业有限公司,深圳,龙岗区,8000,9000,8500.0,1-3年,1,3,大专,智能家居,人工智能,负责智能家居产品采购及供应商管理,采购流程管理、供应商谈判、质量控制、物流协调、办公软件,2024-08-04 ,2024-08
推荐算法工程师,广州智品网络科技有限公司,广州,天河区,30000,60000,45000.0,1-3年,1,3,本科,机器学习、数据挖掘、深度学习,机器学习,设计推荐算法提升短视频、直播、音乐推荐效果,Linux、Hadoop、Spark、Python、TensorFlow、协同过滤、矩阵分解、LTR算法,2024-03-13 ,2024-03
机器人调试工程师,安徽顺锋信息科技有限公司,成都,nan,8000,10000,9000.0,无经验要求,,,本科,机器人自动化,机器人自动化,负责机器人调试、测试及维护，确保高效运行,机器人调试、自动化控制、电气工程、故障排除、团队合作、技术文档维护,2024-10-21 ,2024-10
CMF设计师,西藏凯越实业有限公司,重庆,渝北区,10000,20000,15000.0,3-5年,3,,本科,人机交互,人工智能,负责整车CMF设计及人机交互优化,CMF设计、UI界面设计、人机交互、皮纹设定、配色方案、三维软件应用,2024-08-07 ,2024-08
